Location,Name,Description,FileName,SourceName,SourceUrl
Greece,Academy of Athens,"Academy of Athens, Greece",Greece-Academy-of-Athens.jpg,Wikipedia,https://en.wikipedia.org/wiki/File:Akademie_von_Athen.jpg
Spain,Castillo de San Juan Bautista,"Castillo de San Juan Bautista in Santa Cruz de Tenerife, Spain",Spain-Castillo-de-San-Juan-Bautista.jpg,Wikipedia,https://en.wikipedia.org/wiki/File:Castillo_de_San_Juan_Bautista.jpg
Taiwan,Kaohsiung Confucius Temple,"Kaohsiung, Taiwan: Kaohsiung Confucius Temple.",Taiwan-Kaohsiung-Confucius-Temple.jpg,Wikipedia,https://en.wikipedia.org/wiki/File:Kaohsiung_Taiwan_Kaohsiung-Confucius-Temple-01.jpg
Thailand,Wat Phra Kaew,"Wat Phra Kaew, viewed from the Outer Court of the Grand Palace, just inside the Wisetchaisi Gate. Also known as the Temple of the Emerald Buddha, it is Thailand's primary Buddhist temple.",Thailand-Wat-Phra-Kaew.jpg,Wikipedia,https://en.wikipedia.org/wiki/File:Wat_Phra_Kaew_by_Ninara_TSP_edit_crop.jpg
Russia,Bolshoi Theatre,"Bolshoi Theatre — front facade view at night, in Moscow.",Russia-Bolshoi-Theatre.jpg,Wikipedia,https://en.wikipedia.org/wiki/File:Moscow-Bolshoi-Theare-1.jpg
Sweden,Skokloster Castle,"Skokloster Castle, Sweden.",Sweden-Skokloster-Castle.jpg,Wikipedia,https://en.wikipedia.org/wiki/File:Skokloster_castle_(by_Pudelek)_3.JPG
Indonesia,The Jam Gadang Clock Tower,"The Jam Gadang clock tower in Bukittinggi, West Sumatra.",Indonesia-Jam-Gadang-Clock-Tower.jpg,Wikipedia,https://en.wikipedia.org/wiki/File:Jam_Gadang%2C_Bukittinggi%2C_2016-02-12_01.jpg
America,East Hampton Windmill,"Old Hook Mill in East Hampton, NY.",America-East-Hampton-Windmill.jpg,Wikipedia,https://en.wikipedia.org/wiki/File:Old_Hook_Mill_in_East_Hampton_1.jpg
Russia,The Krestovsky Stadium,"The Krestovsky Stadium, Krestovsky Island, Saint Petersburg, Russia.",Russia-The-Krestovsky-Stadium.jpg,Wikipedia,https://en.wikipedia.org/wiki/File:RUS-2016-Aerial-SPB-Krestovsky_Stadium_01.jpg
,,"",,Wikipedia,
,,"",,Wikipedia,
